Designator,Center-X(mm),Center-Y(mm),Layer,Rotation
L_LED327,-132.6388,102.6312,BottomLayer,-90
L_LED328,-137.6388,102.6312,BottomLayer,-90
L_LED329,-142.6388,102.6312,BottomLayer,-90
L_LED330,-147.6388,102.6312,BottomLayer,-90
L_LED331,-152.6388,102.6312,BottomLayer,-90
L_LED332,-157.6388,102.6312,BottomLayer,-90
L_LED333,-152.6312,107.6388,BottomLayer,90
L_LED334,-147.6312,107.6388,BottomLayer,90
L_LED335,-142.6312,107.6388,BottomLayer,90
L_LED336,-137.6312,107.6388,BottomLayer,90
L_LED337,-132.6312,107.6388,BottomLayer,90
L_LED338,-127.6312,107.6388,BottomLayer,90
L_LED339,-122.6312,107.6388,BottomLayer,90
L_LED340,-117.6312,107.6388,BottomLayer,90
L_LED341,-112.6312,107.6388,BottomLayer,90
L_LED342,-127.6388,112.6312,BottomLayer,-90
L_LED343,-132.6388,112.6312,BottomLayer,-90
L_LED344,-137.6388,112.6312,BottomLayer,-90
L_LED345,-142.6388,112.6312,BottomLayer,-90
L_LED346,-147.6388,112.6312,BottomLayer,-90
L_LED347,-26.6388,2.6312,BottomLayer,-90
L_LED348,-31.6388,2.6312,BottomLayer,-90
L_LED349,-36.6388,2.6312,BottomLayer,-90
L_LED350,-41.6388,2.6312,BottomLayer,-90
L_LED351,-46.6388,2.6312,BottomLayer,-90
L_LED352,-51.6388,2.6312,BottomLayer,-90
L_LED353,-56.6388,2.6312,BottomLayer,-90
L_LED354,-61.6388,2.6312,BottomLayer,-90
L_LED355,-66.6388,2.6312,BottomLayer,-90
L_LED356,-71.6388,2.6312,BottomLayer,-90
L_LED357,-76.6312,7.6388,BottomLayer,90
L_LED358,-71.6312,7.6388,BottomLayer,90
L_LED359,-66.6312,7.6388,BottomLayer,90
L_LED360,-61.6312,7.6388,BottomLayer,90
L_LED361,-56.6312,7.6388,BottomLayer,90
L_LED362,-51.6312,7.6388,BottomLayer,90
L_LED363,-46.6312,7.6388,BottomLayer,90
L_LED364,-41.6312,7.6388,BottomLayer,90
L_LED365,-36.6312,7.6388,BottomLayer,90
L_LED366,-31.6312,7.6388,BottomLayer,90
L_LED367,-26.6312,7.6388,BottomLayer,90
