Designator,Mid X,Mid Y,Layer,Rotation
LED470,93.6312,73.6388,Top,180
LED471,88.6312,73.6388,Top,180
LED472,83.6312,73.6388,Top,180
LED473,78.6312,73.6388,Top,180
LED474,73.6312,73.6388,Top,180
LED475,68.6312,73.6388,Top,180
LED476,63.6312,73.6388,Top,180
LED477,58.6312,73.6388,Top,180
LED478,53.6312,73.6388,Top,180
LED479,48.6312,73.6388,Top,180
LED480,48.6388,78.6312,Top,0
LED481,53.6388,78.6312,Top,0
LED482,58.6388,78.6312,Top,0
LED483,63.6388,78.6312,Top,0
LED484,68.6388,78.6312,Top,0
LED485,73.6388,78.6312,Top,0
LED486,78.6388,78.6312,Top,0
LED487,83.6388,78.6312,Top,0
LED488,88.6388,78.6312,Top,0
LED489,93.6388,78.6312,Top,0
LED490,98.6388,78.6312,Top,0
LED491,103.6388,78.6312,Top,0
LED492,108.6388,78.6312,Top,0
LED493,113.6388,78.6312,Top,0
LED494,118.6388,78.6312,Top,0
LED495,118.6312,83.6388,Top,180
LED496,113.6312,83.6388,Top,180
LED497,108.6312,83.6388,Top,180
LED498,103.6312,83.6388,Top,180
LED499,98.6312,83.6388,Top,180
LED500,93.6312,83.6388,Top,180
LED501,88.6312,83.6388,Top,180
LED502,83.6312,83.6388,Top,180
LED503,78.6312,83.6388,Top,180
LED504,73.6312,83.6388,Top,180
LED505,68.6312,83.6388,Top,180
LED506,63.6312,83.6388,Top,180
LED507,58.6312,83.6388,Top,180
LED508,53.6312,83.6388,Top,180
LED509,48.6312,83.6388,Top,180
LED510,48.6388,88.6312,Top,0
LED511,53.6388,88.6312,Top,0
LED512,58.6388,88.6312,Top,0
LED513,63.6388,88.6312,Top,0
LED514,68.6388,88.6312,Top,0
LED515,73.6388,88.6312,Top,0
LED516,78.6388,88.6312,Top,0
LED517,83.6388,88.6312,Top,0
LED518,88.6388,88.6312,Top,0
LED519,93.6388,88.6312,Top,0
LED520,98.6388,88.6312,Top,0
LED521,103.6388,88.6312,Top,0
LED522,108.6388,88.6312,Top,0
LED523,113.6388,88.6312,Top,0
LED524,118.6388,88.6312,Top,0
LED525,118.6312,93.6388,Top,180
LED526,113.6312,93.6388,Top,180
LED527,108.6312,93.6388,Top,180
LED528,103.6312,93.6388,Top,180
LED529,98.6312,93.6388,Top,180
LED530,93.6312,93.6388,Top,180
LED531,88.6312,93.6388,Top,180
LED532,83.6312,93.6388,Top,180
LED533,78.6312,93.6388,Top,180
LED534,73.6312,93.6388,Top,180
LED535,68.6312,93.6388,Top,180
LED536,63.6312,93.6388,Top,180
LED537,58.6312,93.6388,Top,180
LED538,53.6312,93.6388,Top,180
LED539,63.6388,98.6312,Top,0
LED540,68.6388,98.6312,Top,0
LED541,73.6388,98.6312,Top,0
LED542,78.6388,98.6312,Top,0
LED543,83.6388,98.6312,Top,0
LED544,88.6388,98.6312,Top,0
LED545,93.6388,98.6312,Top,0
LED546,98.6388,98.6312,Top,0
LED547,103.6388,98.6312,Top,0
LED548,108.6388,98.6312,Top,0
LED549,113.6388,98.6312,Top,0
LED550,118.6388,98.6312,Top,0
LED551,118.6312,103.6388,Top,180
LED552,113.6312,103.6388,Top,180
LED553,108.6312,103.6388,Top,180
LED554,103.6312,103.6388,Top,180
LED555,98.6312,103.6388,Top,180
LED556,93.6312,103.6388,Top,180
LED557,88.6312,103.6388,Top,180
LED558,83.6312,103.6388,Top,180
LED559,78.6312,103.6388,Top,180
LED560,88.6388,108.6312,Top,0
LED561,93.6388,108.6312,Top,0
LED562,98.6388,108.6312,Top,0
LED563,103.6388,108.6312,Top,0
LED564,108.6388,108.6312,Top,0
LED565,113.6388,108.6312,Top,0
LED566,118.6388,108.6312,Top,0
LED567,118.6312,113.6388,Top,180
LED568,113.6312,113.6388,Top,180
LED569,108.6312,113.6388,Top,180
LED570,103.6312,113.6388,Top,180
LED571,113.6388,118.6312,Top,0
